rom,region,nazo1,nazo2,nazo3,nazo4,nazo5,vcount
Black,JPN,0x02215F10,0x0221600C,0x0221600C,0x02216058,0x02216058,0x60
Black,KOR,0x022167B0,0x022168AC,0x022168AC,0x022168F8,0x022168F8,0x60
Black,USA,0x022160B0,0x022161AC,0x022161AC,0x022161F8,0x022161F8,0x60
Black,DEU,0x02215FF0,0x022160EC,0x022160EC,0x02216138,0x02216138,0x60
Black,FRA,0x02216030,0x0221612C,0x0221612C,0x02216178,0x02216178,0x60
Black,ESP,0x02216070,0x0221616C,0x0221616C,0x022161B8,0x022161B8,0x60
Black,ITA,0x02215FB0,0x022160AC,0x022160AC,0x022160F8,0x022160F8,0x60
White,JPN,0x02215F30,0x0221602C,0x0221602C,0x02216078,0x02216078,0x5F
White,KOR,0x022167B0,0x022168AC,0x022168AC,0x022168F8,0x022168F8,0x5F
White,USA,0x022160D0,0x022161CC,0x022161CC,0x02216218,0x02216218,0x5F
White,DEU,0x02216010,0x0221610C,0x0221610C,0x02216158,0x02216158,0x5F
White,FRA,0x02216050,0x0221614C,0x0221614C,0x02216198,0x02216198,0x5F
White,ESP,0x02216070,0x0221616C,0x0221616C,0x022161B8,0x022161B8,0x5F
White,ITA,0x02215FD0,0x022160CC,0x022160CC,0x02216118,0x02216118,0x5F
Black2,JPN,0x0209A8DC,0x02039AC9,0x021FF9B0,0x021FFA04,0x021FFA04,0x82
Black2,KOR,0x0209B60C,0x0203A4D5,0x02200750,0x022007A4,0x022007A4,0x82
Black2,USA,0x0209AEE8,0x02039DE9,0x02200010,0x02200064,0x02200064,0x82
Black2,DEU,0x0209AE28,0x02039D69,0x021FFF50,0x021FFFA4,0x021FFFA4,0x82
Black2,FRA,0x0209AF08,0x02039DF9,0x02200030,0x02200084,0x02200084,0x82
Black2,ESP,0x0209AEA8,0x02039DB9,0x021FFFD0,0x02200024,0x02200024,0x82
Black2,ITA,0x0209ADE8,0x02039D69,0x021FFF10,0x021FFF64,0x021FFF64,0x82
White2,JPN,0x0209A8FC,0x02039AF5,0x021FF9D0,0x021FFA24,0x021FFA24,0x82
White2,KOR,0x0209B62C,0x0203A501,0x02200770,0x022007C4,0x022007C4,0x82
White2,USA,0x0209AF28,0x02039E15,0x02200050,0x022000A4,0x022000A4,0x82
White2,DEU,0x0209AE48,0x02039D95,0x021FFF70,0x021FFFC4,0x021FFFC4,0x82
White2,FRA,0x0209AF28,0x02039E25,0x02200050,0x022000A4,0x022000A4,0x82
White2,ESP,0x0209AEC8,0x02039DE5,0x021FFFF0,0x02200044,0x02200044,0x82
White2,ITA,0x0209AE28,0x02039D95,0x021FFF50,0x021FFFA4,0x021FFFA4,0x82
